stimulus_id,source,face_age,face_gender,face_ethnicity,face_style,filename_emotion,stimulus_variant
S185,FACES,middle,woman,white,mixed,sad,b
S186,FACES,old,man,white,mixed,anger,a
S187,FACES,old,man,white,mixed,anger,b
S188,FACES,old,man,white,mixed,disgust,a
S189,FACES,old,man,white,mixed,disgust,b
S190,FACES,old,man,white,mixed,fear,a
S191,FACES,old,man,white,mixed,fear,b
S192,FACES,old,man,white,mixed,happy,a
S193,FACES,old,man,white,mixed,happy,b
S194,FACES,old,man,white,mixed,neutral,a
S195,FACES,old,man,white,mixed,neutral,b
S196,FACES,old,man,white,mixed,sad,a
S197,FACES,old,man,white,mixed,sad,b
S198,FACES,old,woman,white,mixed,anger,a
S199,FACES,old,woman,white,mixed,anger,b
S200,FACES,old,woman,white,mixed,disgust,a
S201,FACES,old,woman,white,mixed,disgust,b
S202,FACES,old,woman,white,mixed,fear,a
S203,FACES,old,woman,white,mixed,fear,b
S204,FACES,old,woman,white,mixed,happy,a
S205,FACES,old,woman,white,mixed,happy,b
S206,FACES,old,woman,white,mixed,neutral,a
S207,FACES,old,woman,white,mixed,neutral,b
S208,FACES,old,woman,white,mixed,sad,a
S209,FACES,old,woman,white,mixed,sad,b
S210,FACES,young,man,white,mixed,anger,a
S211,FACES,young,man,white,mixed,anger,b
S212,FACES,young,man,white,mixed,disgust,a
S213,FACES,young,man,white,mixed,disgust,b
S214,FACES,young,man,white,mixed,fear,a
S215,FACES,young,man,white,mixed,fear,b
S216,FACES,young,man,white,mixed,happy,a
S217,FACES,young,man,white,mixed,happy,b
S218,FACES,young,man,white,mixed,neutral,a
S219,FACES,young,man,white,mixed,neutral,b
S220,FACES,young,man,white,mixed,sad,a
S221,FACES,young,man,white,mixed,sad,b
S222,FACES,young,woman,white,mixed,anger,a
S223,FACES,young,woman,white,mixed,anger,b
S224,FACES,young,woman,white,mixed,disgust,a
S225,FACES,young,woman,white,mixed,disgust,b
S226,FACES,young,woman,white,mixed,fear,a
S227,FACES,young,woman,white,mixed,fear,b
S228,FACES,young,woman,white,mixed,happy,a
S229,FACES,young,woman,white,mixed,happy,b
S230,FACES,young,woman,white,mixed,neutral,a
S231,FACES,young,woman,white,mixed,neutral,b
S232,FACES,young,woman,white,mixed,sad,a
S233,FACES,young,woman,white,mixed,sad,b
