metric,gender_original,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
accuracy_common_pct,Woman,AI-non-white,513,86.61934654425242,10.679321077539297,88.88888888888889,81.81818181818183,93.33333333333331,9.090909090909092,100
accuracy_common_pct,Woman,AI-white,508,88.88956374539978,12.927135988819058,90.9090909090909,83.33333333333334,100,12.5,100
accuracy_common_pct,Woman,All-stimuli,513,82.37374216565894,8.724783393160719,83.54430379746836,78.37837837837837,88.1578947368421,20,97.435897435897445
accuracy_common_pct,Woman,FACES,513,77.99790185274183,9.870782884372233,78.57142857142857,72.41379310344827,85.18518518518519,17.77777777777778,97.82608695652172
accuracy_common_pct,,AI-diverse,34,80.70614482803978,17.58135346422098,87.33974358974359,77.56944444444444,89.93589743589743,21.73913043478261,100
accuracy_common_pct,,AI-non-white,34,80.60334933530204,17.70094632029182,85.96059113300493,73.75,92.27053140096618,21.428571428571427,100
accuracy_common_pct,,AI-white,34,80.85783497548204,20.659765517297455,90,78.33333333333334,91.47727272727272,22.22222222222222,100
accuracy_common_pct,,All-stimuli,34,78.33675497917716,13.688370640080743,82.2072072072072,73.3108108108108,87.99342105263158,35.13513513513514,96.15384615384616
accuracy_common_pct,,FACES,34,75.54316341694833,13.79909260811001,79.53488372093022,66.66666666666666,86.64320685434517,41.17647058823529,95
correct_rt_common_mean_sec,Man,AI-diverse,461,2.6677623154672996,0.976737697060443,2.4312870967741933,2.01138125,3.034251515151515,1.2832457142857143,8.506703846153846
correct_rt_common_mean_sec,Man,AI-non-white,462,2.688920057814765,1.0152713111294451,2.438206547619048,1.9939761904761903,3.084705729166666,1.118555,8.611521052631579
correct_rt_common_mean_sec,Man,AI-white,461,2.5969671830924876,1.0718280332358263,2.310653846153846,1.9001666666666663,2.9346,1.193425,9.093641666666668
correct_rt_common_mean_sec,Man,All-stimuli,462,2.805040830767682,0.9660427552162568,2.566807424337957,2.1459334569919517,3.1674116959064325,1.4105881355932204,9.245607142857144
correct_rt_common_mean_sec,Man,FACES,462,2.947818494547414,1.0436072633940927,2.702486956521739,2.231029971590909,3.3931308247903074,1.426151724137931,9.88599
correct_rt_common_mean_sec,Non-binary,AI-diverse,27,2.9159425975567634,1.0533403966621604,2.9687571428571427,2.082650130775937,3.4108645833333333,1.482170588235294,5.588753846153846
correct_rt_common_mean_sec,Non-binary,AI-non-white,27,2.989624024912802,1.1583066948445395,2.9937,2.08455,3.3646315151515154,1.4038260869565218,6.292370588235294
correct_rt_common_mean_sec,Non-binary,AI-white,27,2.8008853817273263,1.249639490944568,2.6051124999999997,1.8596626373626375,2.950677777777778,1.581,6.1327875
correct_rt_common_mean_sec,Non-binary,All-stimuli,27,3.039067070189338,0.9945784721180055,2.9862020408163263,2.3331840880344044,3.412741302083333,1.6676451612903227,5.831793103448276
correct_rt_common_mean_sec,Non-binary,FACES,27,3.184728139430466,1.0228441640788377,3.030025806451613,2.517839523809524,3.5771964404894327,1.8928642857142857,6.0292625
correct_rt_common_mean_sec,Other,AI-diverse,2,3.6720812499999997,2.7689564981701467,3.6720812499999997,2.6931072916666667,4.651055208333333,1.7141333333333333,5.630029166666667
correct_rt_common_mean_sec,Other,AI-non-white,2,3.7594399999999997,2.7808529805079587,3.7594399999999997,2.7762599999999997,4.74262,1.79308,5.7258
correct_rt_common_mean_sec,Other,AI-white,2,3.511414880952381,2.860732644914757,3.511414880952381,2.4999931547619045,4.522836607142858,1.4885714285714284,5.534258333333334
correct_rt_common_mean_sec,Other,All-stimuli,2,3.804659109186514,2.5968741281571517,3.804659109186514,2.8865254562326013,4.722792762140426,1.9683918032786885,5.64092641509434
correct_rt_common_mean_sec,Other,FACES,2,3.910123884381339,2.460478373981075,3.910123884381339,3.040213412778905,4.780034355983773,2.1703029411764705,5.649944827586207
correct_rt_common_mean_sec,Rather not say,AI-diverse,1,1.746665,,1.746665,1.746665,1.746665,1.746665,1.746665
correct_rt_common_mean_sec,Rather not say,AI-non-white,1,1.6147333333333334,,1.6147333333333334,1.6147333333333334,1.6147333333333334,1.6147333333333334,1.6147333333333334
correct_rt_common_mean_sec,Rather not say,AI-white,1,1.9445625,,1.9445625,1.9445625,1.9445625,1.9445625,1.9445625
correct_rt_common_mean_sec,Rather not say,All-stimuli,1,2.142388679245283,,2.142388679245283,2.142388679245283,2.142388679245283,2.142388679245283,2.142388679245283
correct_rt_common_mean_sec,Rather not say,FACES,1,2.382221212121212,,2.382221212121212,2.382221212121212,2.382221212121212,2.382221212121212,2.382221212121212
correct_rt_common_mean_sec,Woman,AI-diverse,511,2.5990068775180974,0.8444525902112447,2.412771428571429,2.0108202764976957,2.935702090301003,1.1754125,7.214311764705882
correct_rt_common_mean_sec,Woman,AI-non-white,511,2.59906711315941,0.8612032994147586,2.407695,2.005262669683258,2.9693653571428573,1.1092307692307692,8.022935714285714
correct_rt_common_mean_sec,Woman,AI-white,508,2.6005761834984047,1.0946155228840335,2.2964587301587303,1.9249734265734268,2.9555395833333336,1.154830769230769,9.560133333333331
correct_rt_common_mean_sec,Woman,All-stimuli,511,2.774684558487091,0.8085798444556841,2.59014126984127,2.2003152277039844,3.157995910973085,1.2144689655172414,6.68011129032258
correct_rt_common_mean_sec,Woman,FACES,511,2.9317854466100775,0.8898876600389287,2.748615625,2.2996784420289855,3.3804108064516125,1.0696166666666669,7.4614
correct_rt_common_mean_sec,,AI-diverse,33,2.8289965841858855,0.9366395685887742,2.5167058823529413,2.1974135135135135,3.4085428571428573,1.7215185185185184,6.61055
correct_rt_common_mean_sec,,AI-non-white,36,2.875229783048999,0.9692536375555795,2.7923639285714286,2.150031176470588,3.3720597222222226,1.6932380952380952,6.537325
correct_rt_common_mean_sec,,AI-white,34,2.8614884573677957,1.1874300641806523,2.630219886363636,2.1894303571428573,3.117836111111111,1.600666666666667,6.805816666666667
correct_rt_common_mean_sec,,All-stimuli,34,2.927748780512705,0.9605953915080582,2.7923078891257997,2.2387315651260504,3.433156865942029,1.7886865671641792,6.492276470588235
correct_rt_common_mean_sec,,FACES,35,3.0480241288906234,1.1140202950467948,2.6881794117647058,2.1937427083333336,3.522679761904762,1.7837567567567567,6.402551724137931
