clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
cape15_score,CAPE-15 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.010248909105694396,-0.07575121620884484,0.05122734721275171,0.7448162754508647,1011,"FACES, AI-white, and AI-diverse correlations",0.8125268459463978
cape15_score,CAPE-15 total,AI-white,Accuracy,accuracy_common_pct,pearson,-0.2006463882344495,-0.27282431159580317,-0.11975848317597361,1.378027552461731e-10,1005,"FACES, AI-white, and AI-diverse correlations",1.1024220419693849e-9
cape15_score,CAPE-15 total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.1080814093918706,-0.16627908726178503,-0.05206584818869898,5.987884694243763e-4,1005,"FACES, AI-white, and AI-diverse correlations",0.0021818545290623716
cape15_score,CAPE-15 total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,0.009549156848519676,-0.04553030646419345,0.06785126181602796,0.7620369047894763,1008,"FACES, AI-white, and AI-diverse correlations",0.8708993197594014
cape15_score,CAPE-15 total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.00834841693651646,-0.06848483283786921,0.04726370321049613,0.7912176514742245,1008,"FACES, AI-white, and AI-diverse correlations",0.8256184189296255
cape15_score,CAPE-15 total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.2755368001979088,-0.3438145464883662,-0.20157741842940896,3.7000288898751814e-19,1016,All-stimuli correlations,2.960023111900145e-18
cape15_score,CAPE-15 total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.19137954069280827,-0.2551212407078185,-0.12706647116619496,7.768162938658702e-10,1016,All-stimuli correlations,6.2145303509269615e-9
cape15_score,CAPE-15 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,0.017066285042543983,-0.04520942212188761,0.07952059952252993,0.5874404969114077,1013,All-stimuli correlations,0.9801868375303062
cape15_score,CAPE-15 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.015847014688040856,-0.07951682447893654,0.05203576782765841,0.6144143572580082,1013,All-stimuli correlations,0.7712489583321569
cape15_score,CAPE-15 total,FACES,Accuracy,accuracy_common_pct,pearson,-0.23763202723391444,-0.30475301292749146,-0.17058731129200755,1.6497687231459908e-14,1016,"FACES, AI-white, and AI-diverse correlations",1.979722467775189e-13
cape15_score,CAPE-15 total,FACES,Accuracy,accuracy_common_pct,spearman,-0.18658867830369205,-0.2428599862683684,-0.12899020554143376,2.0619265298860073e-9,1016,"FACES, AI-white, and AI-diverse correlations",4.948623671726417e-8
cape15_score,CAPE-15 total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,0.01921670546583768,-0.0470351003285155,0.0862963556553499,0.5410497979884239,1014,"FACES, AI-white, and AI-diverse correlations",0.8115746969826358
cape15_score,CAPE-15 total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.022307847938978963,-0.08404492873208771,0.03694240879854188,0.4779713900198618,1014,"FACES, AI-white, and AI-diverse correlations",0.7169570850297926
gad7_score,GAD-7 total,AI-diverse,Accuracy,accuracy_common_pct,pearson,9.445979659887837e-4,-0.08478743273934247,0.08697981063116078,0.9841827196579461,443,"FACES, AI-white, and AI-diverse correlations",0.9841827196579461
gad7_score,GAD-7 total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.001785006012625747,-0.1037030540181089,0.08306166437039653,0.9701151139216889,443,"FACES, AI-white, and AI-diverse correlations",0.9701151139216889
gad7_score,GAD-7 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,-0.010229096862633881,-0.10659309682066404,0.09711216983029039,0.8300051904067516,443,"FACES, AI-white, and AI-diverse correlations",0.9054602077164562
gad7_score,GAD-7 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.020638050688386773,-0.1237845516937803,0.07674774481807906,0.6648697798040879,443,"FACES, AI-white, and AI-diverse correlations",0.7751556104228668
gad7_score,GAD-7 total,AI-white,Accuracy,accuracy_common_pct,pearson,0.015309610733381324,-0.07560062188716792,0.11192543814581427,0.7496184597750789,437,"FACES, AI-white, and AI-diverse correlations",0.8495519530785871
gad7_score,GAD-7 total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.004174654946212609,-0.09946256949228921,0.09720903810746961,0.9306558643280846,437,"FACES, AI-white, and AI-diverse correlations",0.9701151139216889
gad7_score,GAD-7 total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,-0.001383821455703183,-0.09756644762021252,0.09884176835661687,0.9768559694450278,442,"FACES, AI-white, and AI-diverse correlations",0.9768559694450278
gad7_score,GAD-7 total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.05157864992785339,-0.14492043421691686,0.04414779575107993,0.2792397860738913,442,"FACES, AI-white, and AI-diverse correlations",0.580553665834414
gad7_score,GAD-7 total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.02058998027140706,-0.10377711800403329,0.06453520130953552,0.6652467917099092,444,All-stimuli correlations,0.7602820476684676
gad7_score,GAD-7 total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.05416654082120354,-0.13673985402489075,0.03587500969089823,0.2547120391495171,444,All-stimuli correlations,0.2910994733137338
gad7_score,GAD-7 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,0.0011798578942725903,-0.09557133654796848,0.11001924728823667,0.9802440177116072,443,All-stimuli correlations,0.9802440177116072
gad7_score,GAD-7 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.013852023860574197,-0.10919007480857208,0.08624442572448693,0.7712489583321569,443,All-stimuli correlations,0.7712489583321569
gad7_score,GAD-7 total,FACES,Accuracy,accuracy_common_pct,pearson,-0.0133699445147451,-0.09379129814597022,0.07798412380211289,0.7787559569887049,444,"FACES, AI-white, and AI-diverse correlations",0.8495519530785871
gad7_score,GAD-7 total,FACES,Accuracy,accuracy_common_pct,spearman,-0.04206697672301735,-0.12936920399702903,0.04844518293714245,0.37653485674127285,444,"FACES, AI-white, and AI-diverse correlations",0.5224300472686895
gad7_score,GAD-7 total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,-0.014785846497037496,-0.11501360748001359,0.08189239518772809,0.7565675662558409,442,"FACES, AI-white, and AI-diverse correlations",0.8708993197594014
gad7_score,GAD-7 total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.02639544473026643,-0.1253065989935826,0.07819083428122027,0.5799502023150389,442,"FACES, AI-white, and AI-diverse correlations",0.7335447731562504
hamd6_score,HAMD-6 total,AI-diverse,Accuracy,accuracy_common_pct,pearson,0.040374291713900515,-0.046298616694470454,0.13059984726141946,0.4218251833723923,398,"FACES, AI-white, and AI-diverse correlations",0.5328318105756533
hamd6_score,HAMD-6 total,AI-diverse,Accuracy,accuracy_common_pct,spearman,0.01846048912940753,-0.08241997674541145,0.11657790470705559,0.7135007625585633,398,"FACES, AI-white, and AI-diverse correlations",0.8154294429240723
hamd6_score,HAMD-6 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,-0.033825513497422174,-0.11636217433664486,0.06059949093025247,0.5010191937389143,398,"FACES, AI-white, and AI-diverse correlations",0.8115746969826358
hamd6_score,HAMD-6 total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.020857243933154208,-0.10863428216579663,0.07032697562104576,0.6782611591200085,398,"FACES, AI-white, and AI-diverse correlations",0.7751556104228668
hamd6_score,HAMD-6 total,AI-white,Accuracy,accuracy_common_pct,pearson,0.049746862179339865,-0.0486456445456536,0.15240703314608062,0.3246635649186689,394,"FACES, AI-white, and AI-diverse correlations",0.43288475322489184
hamd6_score,HAMD-6 total,AI-white,Accuracy,accuracy_common_pct,spearman,0.03547651918268658,-0.060005453705464465,0.13987294741945996,0.4825715979621882,394,"FACES, AI-white, and AI-diverse correlations",0.6095641237417113
hamd6_score,HAMD-6 total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,-0.0471833060386587,-0.13655806362855766,0.03552103377494526,0.3490212291437771,396,"FACES, AI-white, and AI-diverse correlations",0.7615008635864227
hamd6_score,HAMD-6 total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.03229180381842449,-0.1244067040619353,0.061252044538138636,0.5216951668631288,396,"FACES, AI-white, and AI-diverse correlations",0.7335447731562504
hamd6_score,HAMD-6 total,All-stimuli,Accuracy,accuracy_common_pct,pearson,0.0073309094135800825,-0.08653080303409594,0.10369190582832317,0.8839392736055566,399,All-stimuli correlations,0.8839392736055566
hamd6_score,HAMD-6 total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.022466049274968324,-0.11670288520249546,0.06827534248082096,0.654580833157363,399,All-stimuli correlations,0.654580833157363
hamd6_score,HAMD-6 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,-0.02545657133338766,-0.10743036813249798,0.07073403083646226,0.6126167734564414,398,All-stimuli correlations,0.9801868375303062
hamd6_score,HAMD-6 total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.018124205983110604,-0.11477860843569422,0.0857502179639501,0.7184963342271327,398,All-stimuli correlations,0.7712489583321569
hamd6_score,HAMD-6 total,FACES,Accuracy,accuracy_common_pct,pearson,-0.011205276354782611,-0.10471919419541004,0.08092788017501579,0.8234343258876611,399,"FACES, AI-white, and AI-diverse correlations",0.8592358183175594
hamd6_score,HAMD-6 total,FACES,Accuracy,accuracy_common_pct,spearman,-0.015747993329293743,-0.10543224387765127,0.08066687480262352,0.7538260271573104,399,"FACES, AI-white, and AI-diverse correlations",0.8223556659897931
hamd6_score,HAMD-6 total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,-0.031376979909832445,-0.120154172264103,0.0727692176394929,0.5330452938211352,397,"FACES, AI-white, and AI-diverse correlations",0.8115746969826358
