sample,variable,summary_type,level_or_statistic,value,denominator,percent
Primary accuracy sample,minispin_score,numeric,q75,8,1047,
Primary accuracy sample,minispin_score,numeric,min,0,1047,
Primary accuracy sample,minispin_score,numeric,max,12,1047,
Primary accuracy sample,asrs_score,numeric,n,1019,1047,
Primary accuracy sample,asrs_score,numeric,missing,28,1047,
Primary accuracy sample,asrs_score,numeric,mean,27.048086359175663,1047,
Primary accuracy sample,asrs_score,numeric,sd,15.900372651611605,1047,
Primary accuracy sample,asrs_score,numeric,median,26,1047,
Primary accuracy sample,asrs_score,numeric,q25,15,1047,
Primary accuracy sample,asrs_score,numeric,q75,38,1047,
Primary accuracy sample,asrs_score,numeric,min,0,1047,
Primary accuracy sample,asrs_score,numeric,max,72,1047,
Primary accuracy sample,gad7_score,numeric,n,444,1047,
Primary accuracy sample,gad7_score,numeric,missing,603,1047,
Primary accuracy sample,gad7_score,numeric,mean,11.801801801801801,1047,
Primary accuracy sample,gad7_score,numeric,sd,4.715508862701666,1047,
Primary accuracy sample,gad7_score,numeric,median,12,1047,
Primary accuracy sample,gad7_score,numeric,q25,8,1047,
Primary accuracy sample,gad7_score,numeric,q75,15,1047,
Primary accuracy sample,gad7_score,numeric,min,0,1047,
Primary accuracy sample,gad7_score,numeric,max,21,1047,
Primary accuracy sample,hamd6_score,numeric,n,399,1047,
Primary accuracy sample,hamd6_score,numeric,missing,648,1047,
Primary accuracy sample,hamd6_score,numeric,mean,9.859649122807017,1047,
Primary accuracy sample,hamd6_score,numeric,sd,3.5202716428409233,1047,
Primary accuracy sample,hamd6_score,numeric,median,9,1047,
Primary accuracy sample,hamd6_score,numeric,q25,8,1047,
Primary accuracy sample,hamd6_score,numeric,q75,12,1047,
Primary accuracy sample,hamd6_score,numeric,min,1,1047,
Primary accuracy sample,hamd6_score,numeric,max,21,1047,
Primary accuracy sample,gender_original,categorical,Man,464,1047,44.3170964660936
Primary accuracy sample,gender_original,categorical,Missing,39,1047,3.7249283667621778
Primary accuracy sample,gender_original,categorical,Non-binary,27,1047,2.5787965616045847
Primary accuracy sample,gender_original,categorical,Other,2,1047,0.19102196752626552
Primary accuracy sample,gender_original,categorical,Rather not say,1,1047,0.09551098376313276
Primary accuracy sample,gender_original,categorical,Woman,514,1047,49.09264565425024
Primary accuracy sample,participant_ethnicity_group,categorical,Asian,62,1047,5.921680993314231
Primary accuracy sample,participant_ethnicity_group,categorical,Black,122,1047,11.652340019102196
Primary accuracy sample,participant_ethnicity_group,categorical,Latino,38,1047,3.629417382999045
Primary accuracy sample,participant_ethnicity_group,categorical,Missing,40,1047,3.8204393505253105
Primary accuracy sample,participant_ethnicity_group,categorical,Mixed/multiple,47,1047,4.48901623686724
Primary accuracy sample,participant_ethnicity_group,categorical,Multiple categories selected,48,1047,4.584527220630372
Primary accuracy sample,participant_ethnicity_group,categorical,Other,7,1047,0.6685768863419294
Primary accuracy sample,participant_ethnicity_group,categorical,Prefer not to answer,8,1047,0.7640878701050621
Primary accuracy sample,participant_ethnicity_group,categorical,White,675,1047,64.46991404011462
Primary accuracy sample,education,categorical,Attended college but has not graduated,226,1047,21.585482330468004
Primary accuracy sample,education,categorical,Attended graduate school,52,1047,4.966571155682904
Primary accuracy sample,education,categorical,Completed master's or doctoral degree,172,1047,16.427889207258833
Primary accuracy sample,education,categorical,Graduated college,376,1047,35.91212989493792
Primary accuracy sample,education,categorical,Graduated high school or completed GED,164,1047,15.663801337153775
Primary accuracy sample,education,categorical,Has not completed high school,17,1047,1.6236867239732569
Primary accuracy sample,education,categorical,Missing,40,1047,3.8204393505253105
Primary accuracy sample,employment,categorical,Disabled,64,1047,6.112702960840497
Primary accuracy sample,employment,categorical,Full Time,480,1047,45.845272206303726
Primary accuracy sample,employment,categorical,Homemaker,52,1047,4.966571155682904
Primary accuracy sample,employment,categorical,Missing,40,1047,3.8204393505253105
Primary accuracy sample,employment,categorical,Part Time,185,1047,17.66953199617956
Primary accuracy sample,employment,categorical,Retired (other than disability),50,1047,4.775549188156638
Primary accuracy sample,employment,categorical,Seeking work,56,1047,5.348615090735435
Primary accuracy sample,employment,categorical,Studying,54,1047,5.157593123209169
Primary accuracy sample,employment,categorical,Unemployed,66,1047,6.303724928366762
Primary accuracy sample,prior_mh_status,categorical,Missing,41,1047,3.9159503342884436
Primary accuracy sample,prior_mh_status,categorical,No prior condition reported,161,1047,15.377268385864372
Primary accuracy sample,prior_mh_status,categorical,Prior condition reported,845,1047,80.70678127984718
Primary accuracy sample,task_position,categorical,Position 1,372,1047,35.53008595988539
Primary accuracy sample,task_position,categorical,Position 2,345,1047,32.95128939828081
Primary accuracy sample,task_position,categorical,Position 3,301,1047,28.74880611270296
Primary accuracy sample,task_position,categorical,Position 4,29,1047,2.76981852913085
Primary RT sample,age,numeric,n,1008,1046,
Primary RT sample,age,numeric,missing,38,1046,
Primary RT sample,age,numeric,mean,41.2906746031746,1046,
Primary RT sample,age,numeric,sd,13.685785591281057,1046,
Primary RT sample,age,numeric,median,40,1046,
Primary RT sample,age,numeric,q25,30.75,1046,
Primary RT sample,age,numeric,q75,51,1046,
Primary RT sample,age,numeric,min,18,1046,
Primary RT sample,age,numeric,max,80,1046,
Primary RT sample,cape15_score,numeric,n,1019,1046,
Primary RT sample,cape15_score,numeric,missing,27,1046,
Primary RT sample,cape15_score,numeric,mean,22.197252208047104,1046,
Primary RT sample,cape15_score,numeric,sd,7.493766388266196,1046,
Primary RT sample,cape15_score,numeric,median,20,1046,
Primary RT sample,cape15_score,numeric,q25,17,1046,
Primary RT sample,cape15_score,numeric,q75,25,1046,
Primary RT sample,cape15_score,numeric,min,15,1046,
Primary RT sample,cape15_score,numeric,max,55,1046,
Primary RT sample,altman_srms_score,numeric,n,1020,1046,
Primary RT sample,altman_srms_score,numeric,missing,26,1046,
Primary RT sample,altman_srms_score,numeric,mean,4.0588235294117645,1046,
Primary RT sample,altman_srms_score,numeric,sd,3.487601844019686,1046,
Primary RT sample,altman_srms_score,numeric,median,3,1046,
Primary RT sample,altman_srms_score,numeric,q25,1,1046,
Primary RT sample,altman_srms_score,numeric,q75,6,1046,
Primary RT sample,altman_srms_score,numeric,min,0,1046,
Primary RT sample,altman_srms_score,numeric,max,19,1046,
Primary RT sample,isi_score,numeric,n,1019,1046,
Primary RT sample,isi_score,numeric,missing,27,1046,
Primary RT sample,isi_score,numeric,mean,9.944062806673209,1046,
Primary RT sample,isi_score,numeric,sd,6.543327828911031,1046,
Primary RT sample,isi_score,numeric,median,9,1046,
Primary RT sample,isi_score,numeric,q25,5,1046,
Primary RT sample,isi_score,numeric,q75,14,1046,
Primary RT sample,isi_score,numeric,min,0,1046,
Primary RT sample,isi_score,numeric,max,28,1046,
Primary RT sample,ocir_score,numeric,n,1018,1046,
Primary RT sample,ocir_score,numeric,missing,28,1046,
Primary RT sample,ocir_score,numeric,mean,17.55500982318271,1046,
Primary RT sample,ocir_score,numeric,sd,14.515153965459845,1046,
Primary RT sample,ocir_score,numeric,median,14,1046,
Primary RT sample,ocir_score,numeric,q25,5,1046,
Primary RT sample,ocir_score,numeric,q75,26.75,1046,
Primary RT sample,ocir_score,numeric,min,0,1046,
Primary RT sample,ocir_score,numeric,max,69,1046,
Primary RT sample,minispin_score,numeric,n,1018,1046,
Primary RT sample,minispin_score,numeric,missing,28,1046,
Primary RT sample,minispin_score,numeric,mean,5.274066797642436,1046,
Primary RT sample,minispin_score,numeric,sd,3.746979821293109,1046,
