sample,variable,summary_type,level_or_statistic,value,denominator,percent
White-status moderation,minispin_score,numeric,median,5,999,
White-status moderation,minispin_score,numeric,q25,2,999,
White-status moderation,minispin_score,numeric,q75,8,999,
White-status moderation,minispin_score,numeric,min,0,999,
White-status moderation,minispin_score,numeric,max,12,999,
White-status moderation,asrs_score,numeric,n,988,999,
White-status moderation,asrs_score,numeric,missing,11,999,
White-status moderation,asrs_score,numeric,mean,26.996963562753038,999,
White-status moderation,asrs_score,numeric,sd,15.826855419597258,999,
White-status moderation,asrs_score,numeric,median,26,999,
White-status moderation,asrs_score,numeric,q25,15,999,
White-status moderation,asrs_score,numeric,q75,38,999,
White-status moderation,asrs_score,numeric,min,0,999,
White-status moderation,asrs_score,numeric,max,72,999,
White-status moderation,gad7_score,numeric,n,439,999,
White-status moderation,gad7_score,numeric,missing,560,999,
White-status moderation,gad7_score,numeric,mean,11.790432801822323,999,
White-status moderation,gad7_score,numeric,sd,4.710020363160582,999,
White-status moderation,gad7_score,numeric,median,12,999,
White-status moderation,gad7_score,numeric,q25,8,999,
White-status moderation,gad7_score,numeric,q75,15,999,
White-status moderation,gad7_score,numeric,min,0,999,
White-status moderation,gad7_score,numeric,max,21,999,
White-status moderation,hamd6_score,numeric,n,394,999,
White-status moderation,hamd6_score,numeric,missing,605,999,
White-status moderation,hamd6_score,numeric,mean,9.83502538071066,999,
White-status moderation,hamd6_score,numeric,sd,3.4839788351147036,999,
White-status moderation,hamd6_score,numeric,median,9,999,
White-status moderation,hamd6_score,numeric,q25,8,999,
White-status moderation,hamd6_score,numeric,q75,12,999,
White-status moderation,hamd6_score,numeric,min,1,999,
White-status moderation,hamd6_score,numeric,max,21,999,
White-status moderation,gender_original,categorical,Man,459,999,45.94594594594595
White-status moderation,gender_original,categorical,Non-binary,26,999,2.6026026026026026
White-status moderation,gender_original,categorical,Other,2,999,0.20020020020020018
White-status moderation,gender_original,categorical,Rather not say,1,999,0.10010010010010009
White-status moderation,gender_original,categorical,Woman,511,999,51.151151151151154
White-status moderation,participant_ethnicity_group,categorical,Asian,62,999,6.206206206206207
White-status moderation,participant_ethnicity_group,categorical,Black,122,999,12.212212212212211
