clinical_score,clinical_label,metric,comparison,method,difference,conf_low,conf_high,p_value,n,p_fdr
gad7_score,GAD-7 total,Correct RT,AI-diverse minus FACES,spearman,3.0081865993444867e-5,-0.061523761450386474,0.062290948085385045,0.9461077844311377,442,0.99140848737308
gad7_score,GAD-7 total,Correct RT,AI-white minus FACES,pearson,-0.013483094611683488,-0.09636274540047383,0.06811793184670187,0.7105788423153693,441,0.9620758483033932
gad7_score,GAD-7 total,Correct RT,AI-white minus FACES,spearman,-0.03386889785990116,-0.12021851754831149,0.05366421738851078,0.42714570858283435,441,0.99140848737308
hamd6_score,HAMD-6 total,Accuracy,AI-diverse minus AI-white,pearson,-0.002298807878051652,-0.08089804209581038,0.06934485751262276,0.8862275449101796,393,0.9660678642714571
hamd6_score,HAMD-6 total,Accuracy,AI-diverse minus AI-white,spearman,-0.013559081956484816,-0.10558495565907951,0.05624875433385393,0.6826347305389222,393,0.8666303756124115
hamd6_score,HAMD-6 total,Accuracy,AI-diverse minus FACES,pearson,0.051522712079523365,-0.03708996155491101,0.15304194503356106,0.25149700598802394,398,0.9293413173652695
hamd6_score,HAMD-6 total,Accuracy,AI-diverse minus FACES,spearman,0.03366484408051836,-0.06609112493769632,0.13915779295326527,0.5069860279441117,398,0.8666303756124115
hamd6_score,HAMD-6 total,Accuracy,AI-white minus FACES,pearson,0.052147513899865675,-0.05202531296826429,0.15304663561484508,0.3872255489021956,394,0.9293413173652695
hamd6_score,HAMD-6 total,Accuracy,AI-white minus FACES,spearman,0.04591312933511782,-0.07052331145904853,0.15953816057859543,0.5349301397205589,394,0.8666303756124115
hamd6_score,HAMD-6 total,Correct RT,AI-diverse minus AI-white,pearson,0.01613953821857557,-0.04535487927234724,0.07139966906435398,0.5988023952095808,396,0.9620758483033932
hamd6_score,HAMD-6 total,Correct RT,AI-diverse minus AI-white,spearman,0.014901468158829523,-0.04361845983684336,0.07574756269711083,0.6786427145708582,396,0.99140848737308
hamd6_score,HAMD-6 total,Correct RT,AI-diverse minus FACES,pearson,-0.0030477479155730305,-0.06322952788896849,0.054357334369988415,0.9341317365269461,397,0.9620758483033932
