metric,participant_ethnicity_group,stimulus_set,n_participants,mean,sd,median,q25,q75,min,max
correct_rt_common_mean_sec,Asian,AI-diverse,62,2.3750429915159135,0.7591686027239278,2.2248275,1.817208504398827,2.7372010057471265,1.293644827586207,5.043225
correct_rt_common_mean_sec,Asian,AI-non-white,62,2.3729332250422153,0.7004719695644285,2.2229824786324786,1.7394104545454547,2.8204515625,1.1981235294117647,4.029692307692308
correct_rt_common_mean_sec,Asian,AI-white,61,2.41980083667016,1.2504189933497063,2.1283,1.7315,2.7128,1.193425,9.560133333333331
correct_rt_common_mean_sec,Asian,All-stimuli,62,2.538957809608827,0.8121464411662428,2.382363580645161,1.9456513546798029,2.9602627545248867,1.3959953846153843,6.100605
correct_rt_common_mean_sec,Asian,FACES,61,2.6158178133452195,0.7492643736233938,2.5271387096774194,2.0673285714285714,2.9257083333333336,1.4784444444444444,4.70927027027027
correct_rt_common_mean_sec,Black,AI-diverse,121,2.9485388306367,1.259121861263761,2.486003448275862,2.09793,3.2966033333333336,1.4039625,8.279077419354838
correct_rt_common_mean_sec,Black,AI-non-white,121,2.9314237392407128,1.2940556196830342,2.501764705882353,2.061321052631579,3.3634375,1.118555,8.022935714285714
correct_rt_common_mean_sec,Black,AI-white,121,2.9558089780329864,1.3322036075874497,2.6731125,1.9708181818181816,3.440733333333333,1.4501583333333334,9.093641666666668
correct_rt_common_mean_sec,Black,All-stimuli,121,3.085426684986102,1.1501929870705652,2.7519457627118644,2.230239344262295,3.673048484848485,1.49269,7.070690196078432
correct_rt_common_mean_sec,Black,FACES,121,3.2346791079244004,1.2211493829275528,2.9105217391304348,2.4101,3.729909090909091,1.5139423076923078,7.098326923076923
correct_rt_common_mean_sec,Latino,AI-diverse,38,2.6300062479242787,0.8338313608676419,2.3561660114660112,2.121410229202037,2.8374387566137567,1.6541333333333332,5.974761764705883
correct_rt_common_mean_sec,Latino,AI-non-white,38,2.635904888077893,0.8701956114630224,2.3485423913043477,2.137382967032967,3.054703571428572,1.5940291666666666,6.2864962962962965
correct_rt_common_mean_sec,Latino,AI-white,38,2.7037150695795433,1.1202535889133551,2.4057267045454545,1.9599203571428574,2.8337000000000003,1.678525,6.4704
correct_rt_common_mean_sec,Latino,All-stimuli,38,2.756776511958119,0.7783147505010171,2.541393870192308,2.2581803571428574,3.0226491986787374,1.768660655737705,5.815034426229508
correct_rt_common_mean_sec,Latino,FACES,38,2.9072066825832854,0.8431644980248225,2.697858991683992,2.2481866319444443,3.168362268907563,1.903639285714286,5.613896296296296
correct_rt_common_mean_sec,Missing,AI-diverse,1,2.48,,2.48,2.48,2.48,2.48,2.48
correct_rt_common_mean_sec,Missing,AI-non-white,1,2.225477777777778,,2.225477777777778,2.225477777777778,2.225477777777778,2.225477777777778,2.225477777777778
correct_rt_common_mean_sec,Missing,AI-white,1,3.052675,,3.052675,3.052675,3.052675,3.052675,3.052675
correct_rt_common_mean_sec,Missing,All-stimuli,1,2.946209230769231,,2.946209230769231,2.946209230769231,2.946209230769231,2.946209230769231,2.946209230769231
correct_rt_common_mean_sec,Missing,FACES,1,3.2570153846153844,,3.2570153846153844,3.2570153846153844,3.2570153846153844,3.2570153846153844,3.2570153846153844
correct_rt_common_mean_sec,Mixed/multiple,AI-diverse,47,2.859024164783448,1.3255368838713157,2.433225806451613,2.0853310344827585,3.0681544471153845,1.482170588235294,8.506703846153846
correct_rt_common_mean_sec,Mixed/multiple,AI-non-white,47,2.9277007259636005,1.377679819791554,2.4587142857142856,2.1206895833333332,3.3290595394736844,1.4038260869565218,8.611521052631579
correct_rt_common_mean_sec,Mixed/multiple,AI-white,47,2.730449516922203,1.3716769721461233,2.291181818181818,1.8485517857142857,2.8746099999999997,1.4409,8.2222
correct_rt_common_mean_sec,Mixed/multiple,All-stimuli,47,2.9966910068886485,1.4174597222314236,2.5676475409836064,2.2033010447761194,3.2935731643356645,1.6676451612903227,9.245607142857144
correct_rt_common_mean_sec,Mixed/multiple,FACES,47,3.1322258620548236,1.5957053441796596,2.584812121212121,2.265305185185185,3.218589650537634,1.7539533333333337,9.88599
