clinical_score,metric,n,term,estimate,std.error,statistic,p.value,conf.low,conf.high
asrs_score,correct_rt_common_mean_sec,959,ai_diverse_z,0.006639507393591804,0.04833837315594243,0.1373547962024366,0.89077937278617,-0.0882224405363065,0.1015014553234901
asrs_score,correct_rt_common_mean_sec,959,age_z,-0.3174009856551985,0.033079458023734354,-9.595108403150522,7.095445041851684e-21,-0.38231797850627003,-0.2524839928041269
asrs_score,correct_rt_common_mean_sec,959,gender_binaryWoman,0.07351740388546747,0.062394460900023034,1.1782681158711692,0.23898385940901168,-0.04892900286300689,0.19596381063394183
asrs_score,correct_rt_common_mean_sec,959,participant_white_statusWhite,0.3881490485599238,0.06909112890544092,5.617928881885112,2.5360960150560733e-8,0.2525607230798367,0.523737374040011
gad7_score,accuracy_common_pct,424,(Intercept),-0.12102618327715425,0.10663849288203725,-1.134920233831817,0.25705911215823685,-0.33064071944640994,0.08858835289210143
gad7_score,accuracy_common_pct,424,faces_z,-0.011745144309780216,0.05980287628233754,-0.19639764907510113,0.8443943842276321,-0.12929699481629764,0.10580670619673721
gad7_score,accuracy_common_pct,424,ai_diverse_z,-0.010327847260315232,0.0587463962906883,-0.1758039286224654,0.8605331179604593,-0.12580302209900765,0.10514732757837719
gad7_score,accuracy_common_pct,424,age_z,-0.11216423154678416,0.05050251747664298,-2.220963174730037,0.02688869975827125,-0.21143478095295848,-0.01289368214060986
gad7_score,accuracy_common_pct,424,gender_binaryWoman,0.0223157211415756,0.09971709041761284,0.22379033571996415,0.8230297849615376,-0.17369372245734566,0.21832516474049685
gad7_score,accuracy_common_pct,424,participant_white_statusWhite,0.15212284806067575,0.1110031377505114,1.3704373691001803,0.17128591867806447,-0.06607107614119945,0.37031677226255094
gad7_score,correct_rt_common_mean_sec,424,(Intercept),-0.11423772569035333,0.1063692381769952,-1.0739733371058389,0.28345420560318013,-0.32332299987752894,0.09484754849682227
gad7_score,correct_rt_common_mean_sec,424,faces_z,0.06980894252750643,0.07648891103713461,0.9126674910251353,0.3619435258402225,-0.08054190336147506,0.22015978841648792
gad7_score,correct_rt_common_mean_sec,424,ai_diverse_z,-0.052562525941094757,0.07609096332654385,-0.6907853921565303,0.49008383010887635,-0.2021311437385055,0.09700609185631598
gad7_score,correct_rt_common_mean_sec,424,age_z,-0.11849068910149925,0.051960426661839323,-2.2804025431246306,0.02308653422201777,-0.22062698566306405,-0.01635439253993444
gad7_score,correct_rt_common_mean_sec,424,gender_binaryWoman,0.007538232514197399,0.09822891585538818,0.07674148135051316,0.9388659220951044,-0.18554597262561812,0.2006224376540129
gad7_score,correct_rt_common_mean_sec,424,participant_white_statusWhite,0.15403580621910118,0.11139621345139429,1.38277416661305,0.16747236798107873,-0.0649307693818435,0.37300238182004586
hamd6_score,accuracy_common_pct,378,(Intercept),-0.09645971064868367,0.10672980634006442,-0.9037748118959573,0.3666997015284873,-0.30632909312305534,0.11340967182568798
hamd6_score,accuracy_common_pct,378,faces_z,-0.05796652853650567,0.06374449551316239,-0.9093573973698852,0.363750285546416,-0.18331125058034095,0.06737819350732963
hamd6_score,accuracy_common_pct,378,ai_diverse_z,0.07368253601366087,0.06248445374720533,1.1792138939352796,0.23906664743324674,-0.04918448840866138,0.19654956043598312
hamd6_score,accuracy_common_pct,378,age_z,-0.06299009317032864,0.05453195502557471,-1.155104252924495,0.24878915557516015,-0.17021963024896458,0.04423944390830731
hamd6_score,accuracy_common_pct,378,gender_binaryWoman,0.0566573505785968,0.1062701712422148,0.533144436640281,0.5942519617178381,-0.1523082231336574,0.265622924290851
hamd6_score,accuracy_common_pct,378,participant_white_statusWhite,0.09780422208250288,0.11738598818453698,0.8331848084692142,0.40527512904578455,-0.13301906614625936,0.3286275103112651
hamd6_score,correct_rt_common_mean_sec,378,(Intercept),-0.08275521751213613,0.10714515329555004,-0.772365477735269,0.4403884099527685,-0.2934413222504144,0.12793088722614218
hamd6_score,correct_rt_common_mean_sec,378,faces_z,0.030442036134834267,0.08298000849135921,0.3668598821366019,0.7139321242891448,-0.13272665813143103,0.19361073040109955
hamd6_score,correct_rt_common_mean_sec,378,ai_diverse_z,-0.058990731728292986,0.08231983967577733,-0.716604064835795,0.47406808050935223,-0.22086129544971722,0.10287983199313126
hamd6_score,correct_rt_common_mean_sec,378,age_z,-0.06470043622008252,0.055726697225656624,-1.1610312371122253,0.2463736739954653,-0.17427926836769247,0.044878395927527445
hamd6_score,correct_rt_common_mean_sec,378,gender_binaryWoman,0.03355577501663122,0.1045589227666463,0.32092693888517493,0.7484459744398212,-0.17204486557016152,0.239156415603424
hamd6_score,correct_rt_common_mean_sec,378,participant_white_statusWhite,0.09503910973707913,0.11836688369892176,0.8029197590334539,0.42253380313951105,-0.13771297367022864,0.32779119314438687
